dataset,Simple CNN gray128,Simple CNN gray16,Simple CNN gray256,Simple CNN gray32,Simple CNN gray64,Simple CNN gray8,Simple CNN rgb
cifar100_coarse_gray_128,0.3679,0.3631,0.3589,0.3549,0.3765,0.3471,0.3456
cifar100_coarse_gray_16,0.3478,0.35,0.3324,0.3327,0.3518,0.3413,0.3277
cifar100_coarse_gray_256,0.3659,0.3604,0.3593,0.3548,0.3766,0.3496,0.3461
cifar100_coarse_gray_32,0.3569,0.3597,0.3489,0.3491,0.364,0.3474,0.3434
cifar100_coarse_gray_64,0.3662,0.3639,0.3537,0.3548,0.3761,0.3484,0.3464
cifar100_coarse_gray_8,0.3211,0.3202,0.3105,0.3039,0.3211,0.3238,0.2966
cifar100_coarse_rgb_256,0.3659,0.3604,0.3593,0.3548,0.3766,0.3496,0.3789
cifar100_fine_gray_128,0.2534,0.2551,0.2474,0.2338,0.2623,0.2345,0.2382
cifar100_fine_gray_16,0.2304,0.2348,0.2272,0.2201,0.2447,0.2289,0.2175
cifar100_fine_gray_256,0.2544,0.2531,0.2507,0.2357,0.2624,0.2341,0.2359
cifar100_fine_gray_32,0.2461,0.2481,0.2433,0.2315,0.2543,0.2334,0.2326
cifar100_fine_gray_64,0.2537,0.2549,0.252,0.2344,0.2611,0.2321,0.2345
cifar100_fine_gray_8,0.2093,0.2058,0.1955,0.1902,0.2151,0.2121,0.1863
cifar100_fine_rgb_256,0.2544,0.2531,0.2507,0.2357,0.2624,0.2341,0.2515
cifar10_gray_128,0.7788,0.7762,0.7772,0.7795,0.7781,0.7616,0.7455
cifar10_gray_16,0.7444,0.7606,0.7432,0.7533,0.7405,0.7593,0.7203
cifar10_gray_256,0.7775,0.775,0.778,0.7794,0.7795,0.7622,0.7461
cifar10_gray_32,0.7676,0.7732,0.7679,0.7753,0.7681,0.762,0.7383
cifar10_gray_64,0.7753,0.7729,0.7766,0.7793,0.7781,0.7611,0.7477
cifar10_gray_8,0.6843,0.7117,0.6829999999999999,0.7011,0.6881,0.7323,0.6647
cifar10_rgb_256,0.7775,0.775,0.778,0.7794,0.7795,0.7622,0.8013
fashion_mnist_gray_128,0.8362,0.8337,0.84,0.8378,0.8338,0.8235,0.8377
fashion_mnist_gray_16,0.8305,0.8302,0.8311,0.8317,0.8252,0.8173,0.8316
fashion_mnist_gray_256,0.8413,0.8302,0.8407,0.8388,0.8359,0.8238,0.8402
fashion_mnist_gray_32,0.8363,0.8322,0.8385,0.8382,0.8346,0.8199,0.8359
fashion_mnist_gray_64,0.8399,0.8339,0.8397,0.8379,0.8356,0.8189,0.8354
fashion_mnist_gray_8,0.8232,0.8236,0.8295,0.8248,0.8208,0.8136,0.8263
fashion_mnist_rgb_256,0.8413,0.8302,0.8407,0.8388,0.8359,0.8238,0.8363
